           0  -0.566194   0.000  0.000  0.000   7  7 0.500000
      100000  -1.266660   0.106  0.309  0.000   7  8 0.500000
      200000  -1.139810   0.106  0.309  0.000   8  6 0.322581
      300000  -1.224916   0.113  0.314  0.000  11  4 0.041667
      400000  -1.263378   0.118  0.319  0.000  11  4 0.041667
      500000  -1.234815   0.120  0.323  0.000  11  4 0.041667
      600000  -1.171826   0.121  0.325  0.000   8  5 0.322581
      700000  -1.252580   0.123  0.327  0.000  10  5 0.016234
      800000  -1.244831   0.124  0.328  0.000  11  4 0.041667
      900000  -1.189074   0.125  0.328  0.000   9  4 0.069930
     1000000  -1.098561   0.127  0.328  0.000  10  4 0.016234
     1100000  -1.195854   0.128  0.329  0.000   9  4 0.069930
     1200000  -1.076976   0.129  0.330  0.000  10  4 0.016234
     1300000  -1.171424   0.128  0.330  0.000  11  4 0.041667
     1400000  -1.197108   0.128  0.331  0.000   9  4 0.069930
     1500000  -1.232809   0.128  0.330  0.000   8  4 0.322581
     1600000  -1.083395   0.128  0.330  0.000   8  4 0.322581
     1700000  -1.191767   0.128  0.331  0.000   9  5 0.069930
     1800000  -1.224205   0.129  0.331  0.000   8  6 0.322581
     1900000  -1.116543   0.129  0.331  0.000   7  6 0.500000
     2000000  -1.128476   0.129  0.331  0.000   6  6 0.476190
     2100000  -1.264741   0.129  0.331  0.000   8  7 0.322581
     2200000  -1.178386   0.128  0.331  0.000   7  5 0.500000
     2300000  -1.186215   0.129  0.332  0.000   7  6 0.500000
     2400000  -1.236072   0.129  0.332  0.000   7  6 0.500000
     2500000  -1.237281   0.129  0.331  0.000   7  7 0.500000
     2600000  -1.229670   0.128  0.331  0.000   8  6 0.322581
     2700000  -1.198042   0.129  0.331  0.000   7  6 0.500000
     2800000  -1.232342   0.129  0.331  0.000   7  4 0.500000
     2900000  -1.254975   0.128  0.330  0.000   7  6 0.500000
     3000000  -1.264840   0.128  0.330  0.000   8  7 0.322581
     3100000  -1.182413   0.128  0.330  0.000   8  6 0.322581
     3200000  -1.171953   0.128  0.331  0.000   8  6 0.322581
     3300000  -1.151846   0.128  0.331  0.000   8  6 0.322581
     3400000  -1.267555   0.128  0.331  0.000   8  6 0.322581
     3500000  -1.213817   0.128  0.331  0.000  11  4 0.041667
     3600000  -1.329144   0.128  0.331  0.000  11  4 0.041667
     3700000  -1.219619   0.128  0.331  0.000  11  4 0.041667
     3800000  -1.150168   0.128  0.331  0.000  11  4 0.041667
     3900000  -1.083269   0.128  0.331  0.000   9  4 0.069930
     4000000  -1.231027   0.128  0.331  0.000  11  4 0.041667
     4100000  -1.172055   0.129  0.331  0.000   9  4 0.069930
     4200000  -1.156554   0.129  0.331  0.000   7  5 0.500000
     4300000  -1.229628   0.130  0.331  0.000   9  4 0.069930
     4400000  -1.217164   0.130  0.331  0.000   8  4 0.322581
     4500000  -1.108011   0.130  0.332  0.000   9  5 0.069930
     4600000  -1.211711   0.130  0.332  0.000  11  4 0.041667
     4700000  -1.244450   0.130  0.332  0.000  11  4 0.041667
     4800000  -1.299517   0.130  0.332  0.000  11  4 0.041667
     4900000  -1.249023   0.130  0.332  0.000  11  4 0.041667
     5000000  -1.232223   0.130  0.332  0.000   8  4 0.322581
     5100000  -1.302637   0.130  0.331  0.000  11  4 0.041667
     5200000  -1.204095   0.130  0.331  0.000  11  4 0.041667
     5300000  -1.275640   0.131  0.332  0.000   9  4 0.069930
     5400000  -1.212851   0.131  0.332  0.000  11  4 0.041667
     5500000  -1.141596   0.131  0.332  0.000   7  5 0.500000
     5600000  -1.188308   0.131  0.332  0.000   8  5 0.322581
     5700000  -1.249981   0.131  0.332  0.000  11  4 0.041667
