5b,
Time (min),Intensity (a.u.)
18.32804108,130.7455292
18.41054153,130.8364868
18.49139595,130.727005
18.57304001,130.6286469
18.65472794,130.4621124
18.73556328,130.5007935
18.81804276,131.0253754
18.89972878,130.6429443
18.98222923,130.3524323
19.0638752,130.2544556
19.14472771,130.5131683
19.22639656,130.6443329
19.30720901,130.2605133
19.38970757,130.0141602
19.47139549,130.2015686
19.55220795,130.4678802
19.63304329,130.3534088
19.71639633,129.563797
19.79720879,130.6761017
19.87970734,130.089798
19.96139526,130.5341949
20.04504204,130.0843506
20.12589455,130.2539368
20.20754242,130.1068573
20.28837395,129.8682404
20.36920738,129.8425293
20.45089531,130.2514954
20.53170776,130.0696869
20.6125412,130.1553497
20.69339561,130.1116943
20.77420807,130.1868896
20.8550415,130.0610199
20.93589592,129.5602722
21.01670647,130.2485504
21.09756279,130.4399414
21.17837524,130.3399353
21.25920868,130.0501251
21.34004021,130.554245
21.42006302,130.004303
21.50087547,130.143692
21.581707,130.1328278
21.66256332,129.9697113
21.74420738,129.6596222
21.82420921,129.6680145
21.90506172,129.5887299
21.98589706,130.0006561
22.06670761,129.8373718
22.14922905,129.7753754
22.2300415,130.6101837
22.31087494,129.6133118
22.39089584,129.6051025
22.47172928,129.9002075
22.55422974,129.9266663
22.63506317,129.781723
22.7158947,129.6511536
22.79672813,129.5473175
22.87756348,129.5065765
22.95839691,129.638031
23.03839493,129.7889404
23.12089729,129.4413757
23.20089531,129.8861847
23.28173065,129.5925293
23.36172867,129.7053223
23.4425621,130.0223236
23.52339745,129.2289734
23.60422897,129.7587433
23.6842289,129.9747162
23.76506424,129.3789063
23.84589577,129.483078
23.9267292,129.4655762
24.00756264,129.5605621
24.08758354,129.4982147
24.168396,129.7801971
24.24922943,129.7229767
24.32922935,129.5336609
24.41006279,129.6213226
24.49089622,129.917923
24.57089615,129.5808258
24.65172958,129.5111694
24.73172951,129.8372192
24.81256294,129.7617645
24.89339638,129.3344269
24.9733963,129.389328
25.05425072,129.4539032
