11a,
Time (min),Intensity (a.u.)
0.000833333,283.526123
0.0025,282.1993103
0.004166667,283.5207214
0.005833333,285.3241882
0.0075,282.0243835
0.009166667,283.563385
0.010833334,282.4369507
0.0125,283.0988159
0.014166667,284.4333191
0.015833333,285.0948792
0.017500002,284.6937561
0.019166667,284.3313293
0.020833334,283.8898621
0.022500001,284.3345947
0.024166668,285.9324341
0.025833335,284.4268494
0.0275,283.9674683
0.029166667,285.232605
0.030833334,283.6759949
0.032500003,284.690094
0.034166668,282.9526672
0.035833336,285.5872803
0.037500001,284.6933594
0.03916667,286.3547668
0.040833335,286.6479492
0.0425,284.8825989
0.044166669,287.2614441
0.045833334,287.5496826
0.047500003,284.5630493
0.049166668,286.6502686
0.050833333,287.2364197
0.052500002,287.5949402
0.054166667,284.4204712
0.055833336,287.9487
0.057500001,284.4609985
0.059166666,285.2177734
0.060833335,286.4899292
0.0625,285.693573
0.064166673,286.1665344
0.065833338,284.9605713
0.067500003,284.1036682
0.069166668,286.5968018
0.070833333,286.7679749
0.072499998,286.3153687
0.07416667,287.6004944
0.075833336,289.0827332
0.077500001,287.7913513
0.079166666,284.8608704
0.080833331,285.1516418
0.082500003,285.6431274
0.084166668,286.106842
0.085833333,286.9842529
0.087499999,285.3712158
0.089166664,285.8160095
0.090833336,286.5531616
0.092500001,284.7904053
0.094166666,286.2908936
0.095833331,288.1948547
0.097499996,286.9534607
0.099166669,286.6203918
0.100833334,288.4772949
0.102499999,284.5242004
0.104166664,287.3239136
0.105833329,285.6923523
0.107500002,287.2614136
0.109166667,289.4688721
0.110833332,287.2129211
0.112499997,284.9295654
0.114166662,285.5856018
0.115833335,286.1954346
0.1175,286.5227661
0.119166665,285.1932373
0.12083333,285.2413025
0.122499995,286.5154724
0.124166675,287.3976746
0.125833333,289.5874023
0.127499998,286.5987549
0.129166663,285.5154419
0.130833328,287.6546631
0.132500008,287.5443115
0.134166673,288.4417114
0.135833338,287.2161255
0.137500003,287.2893982
0.139166668,285.3084412
0.140833333,289.2902527
0.142499998,287.8258362
0.144166678,291.3926086
0.145833328,292.0984802
0.147500008,291.1186829
0.149166659,289.4776611
0.150833339,291.7059326
0.152500004,289.7133484
0.154166669,287.0092163
0.155833334,286.9920044
0.157499999,286.9023743
0.159166664,287.5927124
0.160833344,285.9570007
0.162499994,294.9763794
0.164166674,285.0585327
0.165833324,287.116272
0.167500004,286.8897095
0.169166669,288.2463684
0.170833334,283.3236694
0.172499999,289.5318298
0.174166665,288.7020569
0.17583333,288.1921997
0.17750001,286.4524231
0.17916666,285.2800903
0.18083334,284.4441833
0.18249999,286.5349121
0.18416667,287.6821289
0.18583335,285.7364502
0.1875,288.5117493
0.18916668,287.0392456
0.19083333,290.0754395
0.19250001,285.6690369
0.194166675,289.5857544
0.19583334,283.1624146
0.197500005,287.946991
0.19916667,287.6146851
0.200833336,285.7806702
0.202500016,288.7706299
0.204166666,291.6783752
0.205833346,285.648468
0.207499996,290.5119324
0.209166676,287.5705261
0.210833341,286.703186
0.212500006,290.2988281
0.214166671,286.9028931
0.215833336,285.7598572
0.217500001,286.649292
0.219166681,287.1679993
0.220833331,287.5968018
0.222500011,284.0335083
0.224166662,286.3238831
0.225833342,286.4698181
0.227500007,284.778656
0.229166672,285.0726013
0.230833337,288.5630188
0.232500002,286.8235474
0.234166667,285.565918
0.235833347,289.0001831
0.237499997,284.9285278
0.239166677,285.6357117
0.240833327,284.9360962
0.242500007,285.7799072
0.244166672,287.1212463
0.245833337,286.4770203
0.247500002,289.1893921
0.249166668,287.4040222
0.250833333,285.6566162
0.252499998,285.4801331
0.254166663,284.5397644
0.255833328,285.2738037
0.257499993,286.0939026
0.259166658,285.6990051
0.260833353,285.4429932
0.262499988,284.2972717
0.264166683,284.0885315
0.265833318,286.1683044
0.267500013,284.3746643
0.269166648,281.7289734
0.270833343,285.3091431
0.272500008,285.0059509
0.274166673,286.4378052
0.275833339,283.7038574
0.277500004,284.4771423
0.279166669,286.4247131
0.280833334,284.7560425
0.282499999,284.9902039
0.284166694,285.8731995
0.285833329,285.4478149
0.287499994,285.113678
0.289166659,283.0508728
0.290833354,284.4324646
0.292500019,285.2843933
0.294166654,283.8247681
0.295833319,283.6946716
0.297500014,284.4867249
0.299166679,284.0976563
0.300833345,286.8922119
0.30249998,286.2159119
0.304166675,286.4848633
0.30583334,284.6528015
0.307500005,285.1444397
0.3091667,286.0172119
0.310833335,287.2070618
0.3125,287.2826843
0.314166665,283.1040649
0.31583336,287.7138367
0.317500025,287.8236389
0.31916666,288.6534119
0.320833325,285.1717224
0.32250002,286.6638184
0.324166685,288.427124
0.32583335,286.6143494
0.327499986,289.0343323
0.329166681,287.1738281
0.330833346,286.1924744
0.332500011,288.7099609
0.334166676,288.4111938
0.335833341,288.9993286
0.337500006,287.3520508
0.339166671,296.6030579
0.340833336,288.7945557
0.342500031,286.6431274
0.344166666,287.6035156
0.345833331,286.7673035
0.347499996,288.4015198
0.349166691,290.2136841
0.350833356,288.6410522
0.352499992,289.0720215
0.354166657,283.4393616
0.355833352,286.2156372
0.357500017,287.4452209
0.359166682,285.9063416
0.360833317,287.3847046
0.362500012,288.6411133
0.364166677,286.8430786
0.365833342,289.0923767
0.367500007,287.4035645
0.369166672,287.6130371
0.370833337,285.2050476
0.372500002,288.5967407
0.374166668,289.6817627
0.375833362,289.7209167
0.377499998,283.7076111
0.379166663,286.0829163
0.380833328,286.6876526
0.382500023,286.4099426
0.384166688,285.2286682
0.385833323,284.7905579
0.387499988,285.5339966
0.389166683,283.7640686
0.390833348,287.0819092
0.392500013,283.6239624
0.394166648,285.4207458
0.395833343,285.493988
0.397500008,285.0806274
0.399166673,286.6366882
0.400833339,285.1640625
0.402500004,284.7375183
0.404166669,287.0811157
0.405833334,288.4161987
0.407499999,287.1545715
0.409166694,288.5956116
0.410833329,287.8996887
0.412499994,291.0595398
0.414166659,287.2958374
0.415833354,284.1777954
0.417500019,288.0663452
0.419166654,288.8291931
0.420833319,287.9642944
0.422500014,289.6016541
0.424166679,285.6138306
0.425833345,287.6226501
0.42749998,287.6718445
0.429166675,287.3860474
0.43083334,286.9109802
0.432500005,287.184082
0.4341667,285.3502197
0.435833335,283.899292
0.4375,288.3503723
0.439166665,284.3853149
0.44083336,285.0686035
0.442500025,283.8676147
0.44416666,284.76651
0.445833325,285.7563171
0.44750002,285.1864929
0.449166685,286.5684814
0.45083335,285.6261902
0.452499986,283.2223816
0.454166681,282.9508972
0.455833346,284.7983704
0.457500011,285.2235413
0.459166676,286.6698303
0.460833341,284.6879883
0.462500006,288.5194702
0.464166671,285.0819702
0.465833336,287.3129272
0.467500031,285.7368774
0.469166666,285.756134
0.470833331,287.2814026
0.472499996,285.1841736
0.474166691,285.6080322
0.475833356,286.4520874
0.477499992,286.1304016
0.479166657,285.7866211
0.480833352,284.245697
0.482500017,286.0975647
0.484166682,284.7062988
0.485833317,285.9766235
0.487500012,285.7943726
0.489166677,288.440033
0.490833342,284.7041016
0.492500007,283.6242371
0.494166672,287.7196655
0.495833337,286.8899841
0.497500002,283.6175537
0.499166668,285.921875
0.500833333,284.8684692
0.502499998,285.9429321
0.504166663,285.5316467
0.505833328,285.2288208
0.507499993,287.5905762
0.509166658,286.5118713
0.510833323,286.794281
0.512499988,285.2325745
0.514166653,284.8921204
0.515833318,284.9672852
0.517500043,286.8308411
0.519166648,287.8032532
0.520833314,286.8586121
0.522499979,283.6976013
0.524166703,289.2394409
0.525833368,286.2252197
0.527499974,287.4776001
0.529166639,284.6550293
0.530833364,289.9654846
0.532500029,289.2194214
0.534166634,287.709198
0.535833359,285.7834473
0.537500024,286.0806274
0.539166689,286.8544006
0.540833354,285.8876648
0.54249996,288.7337952
0.544166684,287.6965637
0.545833349,286.399292
0.547500014,283.0155029
0.549166679,285.8428345
0.550833345,287.5657959
0.55250001,286.8804626
0.554166675,284.5551453
0.555833399,285.810791
0.557500005,285.2393799
0.55916667,289.8607178
0.560833335,287.6121216
0.5625,288.6858521
0.564166725,285.2053833
0.56583333,285.6387939
0.567499995,287.079895
0.56916672,286.9713135
0.570833325,285.5908508
0.57250005,289.0062561
0.574166656,286.8822937
0.575833321,286.7089539
0.577500045,286.1943054
0.579166651,284.2208557
0.580833376,284.3573303
0.582500041,286.4526978
0.584166646,289.2391357
0.585833371,284.8815308
0.587499976,286.8605957
0.589166701,286.5671082
0.590833366,284.9389343
0.592499971,288.8449707
0.594166696,284.8091736
0.595833361,283.8621521
0.597500026,282.5773315
0.599166691,288.2391357
0.600833297,284.1489258
0.602500022,286.5688782
0.604166687,283.7883301
0.605833352,286.3221436
0.607500017,283.0082092
0.609166682,284.897522
0.610833347,283.8157959
0.612500012,284.1115723
0.614166677,284.5365906
0.615833342,285.4364624
0.617500007,284.740387
0.619166672,283.812561
0.620833337,285.340332
0.622500062,290.3771362
0.624166668,285.3423157
0.625833333,285.7687378
0.627499998,285.875061
0.629166663,285.0904236
0.630833387,286.1090393
0.632499993,287.5021362
0.634166658,291.3983765
0.635833383,286.9344482
0.637499988,289.3249512
0.639166713,290.7009583
0.640833318,286.0050049
0.642499983,284.7030945
0.644166708,286.8860474
0.645833314,288.6236572
0.647500038,285.2731323
0.649166703,286.3865051
0.650833309,284.9396667
0.652500033,288.026825
0.654166639,286.9932556
0.655833364,287.0580444
0.657500029,287.1870117
0.659166634,289.5615234
0.660833359,286.2186279
0.662500024,284.0499268
0.664166689,286.7550964
0.665833354,286.6790466
0.66749996,284.4139099
0.669166684,285.2776489
0.670833349,287.4315186
0.672500014,288.0025024
0.674166679,286.2190247
0.675833345,287.0332947
0.67750001,285.8363953
0.679166675,286.6533508
0.680833399,285.5357971
0.682500005,285.1074219
0.68416667,286.1361084
0.685833335,288.5024109
0.6875,288.9546204
0.689166725,284.8418274
0.69083333,285.2461548
0.692499995,285.9719238
0.69416672,285.3096619
0.695833325,286.7209167
0.69750005,284.3930359
0.699166656,285.0673523
0.700833321,286.7806091
0.702500045,285.5065918
0.704166651,285.4741516
0.705833376,284.3661194
0.707500041,283.847168
0.709166646,289.6970825
0.710833371,288.2228699
0.712499976,285.5444031
0.714166701,288.0544739
0.715833366,286.4735718
0.717499971,286.6947021
0.719166696,285.3957825
0.720833361,285.5828552
0.722500026,286.4331055
0.724166691,284.7904358
0.725833297,285.7670288
0.727500022,285.3152771
0.729166687,286.5462952
0.730833352,285.2814941
0.732500017,285.1014099
0.734166682,285.3598328
0.735833347,285.8411255
0.737500012,285.7709351
0.739166677,284.5769653
0.740833342,286.7462463
0.742500007,283.7239685
0.744166672,286.6596069
0.745833337,288.9113464
0.747500062,284.0112305
0.749166668,286.4622192
0.750833333,284.6793213
0.752499998,286.1512451
0.754166663,285.3553162
0.755833387,287.9626465
0.757499993,285.6681213
0.759166658,285.1459961
0.760833383,287.4289856
0.762499988,288.0744324
0.764166713,286.7409058
0.765833318,282.9580078
0.767499983,284.788147
0.769166708,289.8283997
0.770833314,283.3356323
0.772500038,285.1627502
0.774166703,283.7148132
0.775833309,285.0900879
0.777500033,286.0065002
0.779166639,286.0788879
0.780833364,286.4432678
0.782500029,285.7227783
0.784166634,284.4917908
0.785833359,283.1658325
0.787500024,284.964386
0.789166689,289.4570007
0.790833354,285.4233093
0.79249996,287.2294922
0.794166684,284.7983093
0.795833349,286.8119202
0.797500014,284.5000916
0.799166679,286.9270325
0.800833345,288.7585449
0.80250001,286.2766724
0.804166675,286.17099
0.805833399,287.777771
0.807500005,286.1867065
0.80916667,287.0812988
0.810833335,284.6953735
0.8125,286.5933228
0.814166725,286.866272
0.81583333,285.4481201
0.817499995,286.8042603
0.81916672,284.489502
0.820833325,286.3390808
0.82250005,286.9592285
0.824166656,286.2774963
0.825833321,286.8574829
0.827500045,285.4370728
0.829166651,285.6241455
0.830833376,286.216156
0.832500041,286.3127441
0.834166646,285.8251648
0.835833371,284.8968201
0.837499976,284.4544067
0.839166701,285.0501709
0.840833366,285.4339294
0.842499971,286.261322
0.844166696,286.2704468
0.845833361,282.3161926
0.847500026,286.0038147
0.849166691,285.3914185
0.850833297,285.1473389
0.852500022,284.6686096
0.854166687,286.5196838
0.855833352,278.2130127
0.857500017,284.1783142
0.859166682,282.6821289
0.860833347,284.1104431
0.862500012,283.5377502
0.864166677,285.2791138
0.865833342,285.0800781
0.867500007,283.1528931
0.869166672,287.6526489
0.870833337,286.8010559
0.872500062,286.0965271
0.874166668,286.4423523
0.875833333,284.9711609
0.877499998,283.426178
0.879166663,285.2862549
0.880833387,285.4070129
0.882499993,285.7472229
0.884166658,284.9467163
0.885833383,285.8450928
0.887499988,286.914978
0.889166713,287.1289063
0.890833318,285.7792969
0.892499983,285.2077332
0.894166708,286.3819885
0.895833314,284.6596069
0.897500038,285.9898987
0.899166703,284.5177307
0.900833309,287.0179138
0.902500033,288.2826538
0.904166639,285.3369141
0.905833364,285.8069458
0.907500029,287.7391052
0.909166634,287.1322021
0.910833359,284.1948242
0.912500024,283.8410645
0.914166689,286.0384827
0.915833354,285.1394653
0.91749996,285.0052185
0.919166684,286.342926
0.920833349,286.7537537
0.922500014,287.4046631
0.924166679,284.7606201
0.925833345,287.4152527
0.92750001,286.4677734
0.929166675,284.3072205
0.930833399,289.8178711
0.932500005,287.4334412
0.93416667,285.5630798
0.935833335,286.4298096
0.9375,284.8886108
0.939166725,285.6217957
0.94083333,286.9920654
0.942499995,287.0723572
0.94416672,283.65625
0.945833325,287.0108337
0.94750005,283.0435791
0.949166656,283.3877258
0.950833321,284.4397888
0.952500045,284.1651306
0.954166651,286.5687561
0.955833376,283.7301941
0.957500041,284.4602661
0.959166646,284.2670898
0.960833371,288.4534607
0.962499976,284.921814
0.964166701,284.2994995
0.965833366,283.7938843
0.967499971,284.4781494
0.969166696,286.5145874
0.970833361,285.4467773
0.972500026,283.7722168
0.974166691,284.9895325
0.975833297,285.0550537
0.977500022,285.2496338
0.979166687,284.8597107
0.980833352,283.5813904
0.982500017,285.5400391
0.984166682,283.572937
0.985833347,287.4206543
0.987500012,287.166626
0.989166677,286.136261
0.990833342,287.0021667
0.992500007,285.7229309
0.994166672,287.61026
0.995833337,283.9486694
0.997500062,289.2832336
0.999166668,285.2575989
1.000833273,283.2669678
1.002500057,285.7477417
1.004166722,285.6148987
1.005833387,291.366333
1.007500052,284.6143494
1.009166598,284.2542114
1.010833383,283.4408264
1.012500048,283.4513855
1.014166713,285.4134216
1.015833378,284.951355
1.017500043,281.45047
1.019166708,284.7363586
1.020833373,283.7846069
1.022500038,284.0472107
1.024166703,287.407196
1.025833368,283.4351807
1.027500033,289.2609863
1.029166698,287.1513367
1.030833364,284.8070374
1.032500029,286.8833008
1.034166694,284.7262573
1.035833359,287.2090454
1.037500024,285.8009644
1.039166689,284.8883057
1.040833354,287.6242065
1.042500019,287.0091248
1.044166684,284.70047
1.045833349,287.9592896
1.047500014,285.6262817
1.049166679,286.9127502
1.050833344,283.3970032
1.05250001,285.0392456
1.054166675,282.8415833
1.05583334,284.4879456
1.057500005,285.1795959
1.05916667,285.3141479
1.060833335,284.3126831
1.0625,285.594635
1.064166665,288.8817444
1.06583333,287.3381348
1.067499995,287.703186
1.06916666,285.8853455
1.070833325,286.9141846
1.07249999,284.7798462
1.074166775,285.0855103
1.07583344,289.2699585
1.077499986,287.3145447
1.079166651,285.7682495
1.080833316,284.3746643
1.0825001,284.8038025
1.084166765,284.9040222
1.085833311,284.5427551
1.087499976,282.7039185
1.089166641,283.0518799
1.090833426,283.5002136
1.092500091,289.7972717
1.094166636,284.2458191
1.095833302,285.2245483
1.097499967,284.9772949
1.099166751,285.4168396
1.100833416,287.4564209
1.102500081,286.0471497
1.104166627,289.519989
1.105833292,285.9197998
1.107500076,285.1187744
1.109166741,284.1072083
1.110833406,286.3305359
1.112499952,284.4477234
1.114166617,282.7662048
1.115833402,282.8045654
1.117500067,283.7900391
1.119166732,285.0294189
1.120833278,285.2600098
1.122499943,284.8609924
1.124166727,285.404541
1.125833392,284.6034851
1.127500057,285.1668701
1.129166722,284.4997559
1.130833268,284.3675232
1.132500052,285.1357727
1.134166718,284.2776184
1.135833383,285.3279114
1.137500048,286.3779907
1.139166594,285.1963806
1.140833378,284.375
1.142500043,290.9182129
1.144166708,286.2059326
1.145833373,284.2523804
1.147499919,283.0334778
1.149166703,286.4491882
1.150833368,284.0286865
1.152500033,283.5870361
1.154166698,284.3670349
1.155833364,286.1760864
1.157500029,286.1502686
1.159166694,288.3841553
1.160833359,284.7030029
1.162500024,284.7804565
1.164166689,286.104187
1.165833354,282.7120361
1.167500019,285.7541809
1.169166684,285.0389404
1.170833349,283.2500305
1.172500014,285.545105
1.174166799,287.7844238
1.175833344,285.5262451
1.17750001,286.5791626
1.179166675,284.7579041
1.18083334,283.065155
1.182500124,285.410675
1.18416667,284.5750732
1.185833335,284.6030884
1.1875,285.8964539
1.189166665,282.8187561
1.190833449,284.6963806
1.192499995,284.4130554
1.19416666,284.4483337
1.195833325,282.8481445
1.19749999,282.1239319
1.199166775,283.7816467
1.20083344,284.3506165
1.202499986,283.6187134
1.204166651,282.8276672
1.205833316,283.8529358
1.2075001,283.5888062
1.209166765,284.2474976
1.210833311,285.5980225
