1,,2,,3,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.)
0.000833333,238.9311371,0.035041668,252.0092163,0.068333335,256.3500366
0.12416666,237.5076141,0.157499999,252.8495483,0.19083333,260.0629578
0.246729165,239.3592224,0.280041665,251.540863,0.314229161,260.1797485
0.367541671,237.3168335,0.401729167,253.055481,0.435041696,263.2975769
0.490874976,241.4169312,0.524229169,252.5662537,0.558375001,263.3119507
0.61179167,238.9457245,0.645874977,250.6982117,0.67922914,262.5476379
0.732562482,238.4017029,0.766708314,252.959549,0.800875008,263.9871826
0.854208291,239.5084534,0.888395846,252.3653259,0.921708345,263.9356995
0.977562547,238.693512,1.010874987,250.9068909,1.044208288,265.0948486
1.100062609,240.1616364,1.13339591,252.3348694,1.167562485,265.0834961
1.220875025,240.8813934,1.255062461,253.1557617,1.28837502,265.1432495
1.342562437,240.4589386,1.375874996,252.5085449,1.409229159,263.9356995
1.465041637,238.3330383,1.498374939,251.5195618,1.531729102,265.5696716
1.585062504,239.6022034,1.618395925,253.4870148,1.652541637,265.3743286
1.707541704,239.3987732,1.740895867,249.6569672,1.775062561,263.7159729
1.830062509,239.9783783,1.86339581,254.0909576,1.896729112,262.8041687
1.952562451,239.000885,1.985895753,251.2349243,2.019229174,265.0654602
2.072562456,238.7394867,2.106729031,252.1595612,2.140062571,263.5575256
2.193395853,239.1676025,2.227562428,251.6847229,2.260895729,265.7046204
2.315062523,239.5638275,2.348395824,250.8840027,2.381729126,262.2417297
2.437562466,239.9790802,2.470896006,252.056839,2.504229307,265.2370911
2.55756259,239.3896942,2.590895891,251.6207733,2.625062466,263.7049866
2.680062532,237.5948944,2.713395834,253.7973175,2.746729374,265.3795471
2.800062656,241.5326385,2.834229231,251.7741394,2.867562532,266.4624939
2.920895815,239.5410461,2.954229116,253.0816498,2.988395929,263.5516968
3.043395758,240.789978,3.076729059,251.9584656,3.110062361,264.5372314
3.163395882,238.6772003,3.197562456,252.8908844,3.230895758,265.0748291
3.284229279,239.6135101,3.31756258,251.5398865,3.351729155,264.8251343
3.406729221,238.5566711,3.440062523,251.4620972,3.473395824,264.2443237
3.526729107,238.8505859,3.560895681,251.9385529,3.594229221,265.0475159
3.647562504,238.5202789,3.680895805,251.5730591,3.71506238,263.7080688
3.768395662,238.1307831,3.801728964,251.5498047,3.835895777,264.2377014
3.889229059,240.3914185,3.922562361,251.5925446,3.955895662,265.0863953
4.01172924,239.0317841,4.045062542,252.4924927,4.078395844,262.5578308
4.133395672,239.1357422,4.16672945,252.7580261,4.200062752,263.5474854
4.25506258,239.7299194,4.288395882,253.8660736,4.321729183,263.3957825
4.375062466,239.43396,4.408395767,251.520813,4.44256258,263.375061
4.497583389,235.951416,4.530916691,250.6237946,4.564249992,262.947113
4.617583275,233.1849365,4.651750088,251.298584,4.685083389,265.3477173
4.738416672,230.1844788,4.771749973,244.1868744,4.805916786,266.4696655
4.859250069,228.4444275,4.893416882,243.0299225,4.926750183,266.1131897
4.980082989,223.3208923,5.014250278,240.484787,5.04758358,263.4782104
5.102583408,226.3440552,5.13591671,241.220993,5.169250011,259.8009644
5.222583294,220.9786682,5.255917072,237.5460663,5.289250374,255.5271759
5.342583179,218.786499,5.376749992,233.2444458,5.410083294,254.07901
5.463416576,218.2890625,5.496749878,232.6306915,5.530083179,252.7276001
5.583416939,215.4632568,5.61675024,232.6699524,5.650916576,248.2995758
5.705916882,215.116394,5.739250183,230.8111267,5.772625446,249.9924011
5.825958252,214.0893555,5.860125065,230.4228058,5.893458366,246.8603668
5.949291706,212.8139038,5.982625008,229.2536163,6.015958309,247.2179871
6.069291592,210.2118225,6.103457928,229.3987427,6.136791706,243.6403351
6.190124989,209.7636414,6.22345829,225.489563,6.257624626,242.4665833
6.312624931,209.0807495,6.345958233,225.750061,6.380125046,241.2093048
6.433458328,208.1890869,6.46679163,225.8730469,6.500124931,239.5154877
6.555958748,206.5845337,6.589292049,224.0607452,6.622625351,241.0871735
6.677625179,203.520874,6.710958481,221.5604401,6.744291782,238.334549
6.799291611,205.2632751,6.832624912,222.592926,6.865958214,238.9279022
6.919291496,204.1199646,6.952624798,222.4013672,6.986791611,236.8027039
7.040124893,201.3405762,7.073479176,220.0043488,7.106812477,234.5240936
7.162645817,204.0067444,7.195979118,218.7989807,7.22931242,233.3777771
7.282645702,202.5471802,7.316812515,217.9841766,7.350145817,233.9534149
7.403479099,200.4830627,7.437645912,218.7511139,7.470979214,232.5223236
7.526812553,199.7802429,7.560145855,217.9048157,7.593479633,231.8913727
7.646812439,199.5275269,7.680145741,217.109726,7.713479042,232.7805481
7.766875267,200.4369812,7.800208569,216.7437592,7.833562851,231.8240509
7.886874676,198.6925354,7.921041965,217.0765839,7.954375267,232.2836456
8.009374619,196.0357971,8.042708397,215.5638123,8.076041222,228.7123566
