1,,
Time (min),Intensity (a.u.),
0.0008333333535,340.9458313,
0.002500000177,338.5401917,
0.004166666884,340.0718384,
0.005833333358,338.7568054,
0.007500000298,341.8335876,
0.009166667238,340.1448975,
0.01083333418,338.3034973,
0.01250000019,339.2835693,
0.01416666713,339.2963257,
0.01583333313,337.5734558,
0.01750000194,339.7471619,
0.01916666701,340.021698,
0.02083333395,339.8095093,
0.02250000089,337.9576721,
0.02416666783,340.2960205,
0.02583333477,339.3760986,
0.02749999985,342.5056458,
0.02916666679,338.665741,
0.03083333373,339.1584778,
0.03250000253,340.1824951,
0.03416666761,339.5724792,
0.03583333641,338.919342,
0.03750000149,338.0841675,
0.03916667029,340.4769897,
0.04083333537,338.9458008,
0.04250000045,340.7262268,
0.04416666925,341.1340332,
0.04583333433,337.8724365,
0.04750000313,339.8572693,
0.04916666821,339.2537537,
0.05083333328,340.0387878,
0.05250000209,339.4608154,
0.05416666716,338.6040649,
0.05583333597,338.6898804,
0.05750000104,340.1957703,
0.05916666612,338.8235168,
0.06083333492,339.4701843,
0.0625,338.1682129,
0.06416667253,338.8440247,
0.0658333376,337.4841919,
0.06750000268,339.8273621,
0.06916666776,341.2496643,
0.07083333284,339.4037476,
0.07249999791,339.203125,
0.07416667044,339.9780273,
0.07583333552,339.8157654,
0.0775000006,340.7270203,
0.07916666567,339.4107056,
0.08083333075,339.3204956,
0.08250000328,339.4315491,
0.08416666836,337.6083984,
0.08583333343,340.1642761,
0.08749999851,338.118988,
0.08916666359,340.1807556,
0.09083333611,340.2200317,
0.09250000119,339.5301819,
0.09416666627,338.9192505,
0.09583333135,338.0227356,
0.09749999642,340.2601929,
0.09916666895,339.776947,
0.100833334,340.8754272,
0.1024999991,337.7117004,
0.1041666642,338.5520325,
0.1058333293,341.3488159,
0.1075000018,338.690155,
0.1091666669,337.3596191,
0.1108333319,337.8413391,
0.112499997,338.5179443,
0.1141666621,339.1544495,
0.1158333346,339.6038513,
0.1174999997,339.9870911,
0.1191666648,339.4242554,
0.1208333299,339.2036743,
0.1224999949,340.1832581,
0.1241666749,340.4444275,
0.1258333325,338.1495361,
0.1274999976,339.8348083,
0.1291666627,339.0960083,
0.1308333278,339.8374634,
0.1325000077,339.8164978,
0.1341666728,339.306427,
0.1358333379,337.4351196,
0.137500003,341.2181091,
0.1391666681,338.8054199,
0.1408333331,338.4683228,
0.1424999982,339.1081543,
0.1441666782,338.7442627,
0.1458333284,338.0588989,
0.1475000083,337.7829285,
0.1491666585,340.3128052,
0.1508333385,339.8988342,
0.1525000036,338.1720886,
0.1541666687,341.1876526,
0.1558333337,339.2706909,
0.1574999988,338.4815674,
0.1591666639,338.779541,
0.1608333439,339.7675171,
0.162499994,341.8271179,
0.164166674,340.2622375,
0.1658333242,338.8770142,
0.1675000042,340.1141052,
0.1691666692,340.5118713,
0.1708333343,340.1074524,
0.1724999994,338.4456177,
0.1741666645,338.7589111,
0.1758333296,336.485321,
0.1775000095,338.6435242,
0.1791666597,339.7286682,
0.1808333397,339.78302,
0.1824999899,339.1802979,
0.1841666698,340.859436,
0.1858333498,337.04953,
0.1875,338.1386108,
0.18916668,338.4515076,
