1,,2,,3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
0.0008333333535,20.3565731,0.03500000015,15.92345524,0.06833333522,14.39446354,
0.1233333349,20.51678848,0.1566666663,16.33706474,0.1908333302,14.75751781,
0.2458958328,20.56561279,0.2792291641,15.95236397,0.3125624955,14.93962097,
0.3683958352,21.11367798,0.4017291665,15.80942822,0.4350624979,14.53020477,
0.4883958101,20.6468544,0.5217291713,16.24085426,0.5558958054,15.07465172,
0.6108958721,20.87205887,0.6442291737,15.61545658,0.6775625348,15.01791477,
0.7325624824,20.59958839,0.7658958435,15.53398132,0.7992292047,14.74442387,
0.8550624847,20.4298439,0.8883958459,16.00862694,0.9217291474,15.07890892,
0.9767291546,20.59605598,1.010062456,15.81497097,1.043395758,15.44517136,
1.098395824,21.16293716,1.131729126,15.64806747,1.165062428,15.20732975,
1.218395829,20.8516655,1.252562404,15.92043972,1.285895824,14.82684612,
1.339229226,20.27208519,1.372562528,15.82409859,1.406729102,14.93362522,
1.461729169,20.62197304,1.49506247,15.90208721,1.528395891,15.25043106,
1.584229112,20.90621185,1.617562532,15.85155582,1.650895834,15.18047714,
1.704229236,20.71028328,1.73839581,15.95327663,1.771729112,15.33561897,
1.825062513,20.64837646,1.858395934,15.98511982,1.891729236,15.2409296,
1.945062518,20.64033318,1.97839582,15.94295502,2.01172924,15.25585365,
2.065062523,20.62050056,2.098395824,16.18229103,2.131729126,14.86703491,
2.185062408,20.81024551,2.219229221,16.00613213,2.252562523,15.09518719,
2.305895805,20.6139183,2.339229107,15.84932041,2.372562408,15.03456593,
2.428395748,20.75363922,2.461729288,16.2916584,2.495083332,15.26116085,
2.548395872,21.06780243,2.581749916,15.89515591,2.615916729,15.23450565,
2.670916796,20.70752144,2.704250097,16.36198997,2.737583399,15.07412052,
2.790916681,20.90029335,2.825083494,16.1889782,2.858416796,15.33192825,
2.911750078,20.58870506,2.94508338,16.20335197,2.979250193,15.06871033,
3.034249783,20.62283134,3.067583323,15.81608486,3.100916624,15.11660862,
3.156749964,20.77435303,3.190083265,16.01742744,3.223416567,15.16784859,
3.276749849,19.90765381,3.310083151,16,3.343416691,14.86064529,
3.396749973,19.36242294,3.430083275,16.04675865,3.463416576,15.06194019,
3.516750097,19.42546463,3.550083399,14.75158978,3.5834167,15.20822811,
3.636749983,18.75361252,3.670083284,14.64246845,3.704250097,15.32798767,
3.759249926,18.28622627,3.792583227,14.29146099,3.82675004,14.09976387,
3.880083323,18.06004143,3.913416624,13.9202013,3.946791649,13.68006802,
4.002583504,18.33397675,4.03595829,13.79728699,4.069291592,13.24781513,
4.122624874,18.33938217,4.155958176,13.76039314,4.190124989,13.29043388,
4.245125294,18.07736969,4.278458118,13.60661125,4.312624931,12.69256401,
4.365958214,17.7351799,4.399291515,13.39860535,4.432624817,12.72232914,
4.488458157,18.15999222,4.521791458,13.30756378,4.55512476,12.27477551,
4.610125065,17.48386383,4.643458366,13.39117146,4.676791668,12.50704002,
4.73012495,17.42738724,4.764291763,13.3313446,4.797625065,12.31589699,
4.850958347,17.35520554,4.884291649,12.89510536,4.91762495,12.1126976,
4.97345829,17.55421257,5.006791592,13.37414265,5.040124893,12.20619392,
5.093479633,17.36268234,5.126812935,13.03982258,5.160979271,11.95937347,
5.215979099,17.49643326,5.249312401,12.79058647,5.283479214,11.93251896,
5.336812496,17.40384674,5.370145798,12.93070412,5.403479099,11.61393929,
5.459312439,16.77095222,5.492645741,12.74818897,5.525979042,12.10560799,
5.579312801,17.18419838,5.613479137,13.05127048,5.646812439,11.78254032,
5.700208664,16.71821022,5.733541965,12.69203377,5.766875267,11.70767307,
5.822729111,16.93708229,5.856041431,12.81360435,5.889374733,11.5864048,
5.944396019,16.67238617,5.97770834,12.9893856,6.011041641,11.43043423,
6.06606245,16.90125656,6.099395752,12.56911182,6.132708073,11.59933853,
6.188541889,16.85633087,6.221875191,12.58102989,6.256041527,11.92643166,
6.311895847,16.97846031,6.345208168,12.66763783,6.379374981,11.57278728,
6.435208321,16.44646454,6.469375134,12.93083096,6.502708435,11.64897633,
6.558541775,16.35681152,6.592708111,12.56085014,6.626041889,11.39002895,
