    37500.0000  -1.282575   0.329458  -0.953116  5 10  0.40  0.37 
    38000.0000  -1.221980   0.277033  -0.944947  5 10  0.38  0.36 
    38500.0000  -1.102407   0.256401  -0.846006  4  9  0.37  0.40 
    39000.0000  -1.114248   0.226948  -0.887301  4  9  0.38  0.38 
    39500.0000  -1.153869   0.261395  -0.892474  4 10  0.36  0.36 
    40000.0000  -1.201565   0.286970  -0.914595  4 10  0.38  0.34 
    40500.0000  -1.139295   0.288167  -0.851128  5  9  0.38  0.36 
    41000.0000  -1.209810   0.285230  -0.924579  5  9  0.41  0.38 
    41500.0000  -1.334478   0.326709  -1.007769  5 10  0.39  0.34 
    42000.0000  -1.223017   0.291884  -0.931134  5 10  0.33  0.35 
    42500.0000  -1.251030   0.285705  -0.965326  5 10  0.37  0.35 
    43000.0000  -1.237122   0.352537  -0.884585  5 10  0.36  0.38 
    43500.0000  -1.229165   0.306142  -0.923023  5  9  0.38  0.36 
    44000.0000  -1.200380   0.318622  -0.881758  5 10  0.37  0.38 
    44500.0000  -1.213550   0.294732  -0.918818  4 10  0.38  0.37 
    45000.0000  -1.260161   0.345462  -0.914699  5 10  0.37  0.35 
    45500.0000  -1.173575   0.295545  -0.878031  4  8  0.37  0.37 
    46000.0000  -1.173938   0.309010  -0.864928  6  8  0.39  0.36 
    46500.0000  -1.207568   0.327826  -0.879742  6  8  0.37  0.37 
    47000.0000  -1.146177   0.301238  -0.844939  6  9  0.38  0.38 
    47500.0000  -1.228937   0.289129  -0.939808  5  9  0.37  0.37 
    48000.0000  -1.203534   0.316299  -0.887235  5  9  0.36  0.38 
    48500.0000  -1.279349   0.319269  -0.960080  6  9  0.39  0.38 
    49000.0000  -1.166864   0.303857  -0.863007  6  9  0.39  0.37 
    49500.0000  -1.235564   0.265628  -0.969935  6  9  0.37  0.34 
    50000.0000  -1.178935   0.301646  -0.877289  5  9  0.36  0.36 
    50500.0000  -1.065358   0.303653  -0.761705  4  9  0.39  0.34 
    51000.0000  -1.145993   0.348575  -0.797419  4 10  0.39  0.34 
    51500.0000  -1.201629   0.282612  -0.919017  4  8  0.41  0.36 
    52000.0000  -1.258679   0.286064  -0.972615  6  9  0.35  0.35 
    52500.0000  -1.184577   0.347328  -0.837250  6  8  0.37  0.35 
