#t = 1000000000; extr. Ts: 
0 0 0 0 
1 0 0 0 
2 0 0 0 
3 0 0 0 
4 0 0 0 
5 0 0 0 
6 0 0 0 
7 0 0 0 
8 0 0 0 
9 0 0 0 
10 0 0 0 
11 0 0 0 
12 0 0 0 
13 0 0 0 
14 0 0 0 
15 0 0 0 
0 1 0 0 
1 1 0 0 
2 1 0 0 
3 1 0 0 
4 1 0 0 
5 1 0 0 
6 1 0 0 
7 1 40 20 
8 1 5900 1903.23 
9 1 240620 16826.6 
10 1 6.96051e+06 112995 
11 1 1.67524e+08 675227 
12 1 5.68332e+08 5.20928e+06 
13 1 1.95946e+09 4.36404e+07 
14 1 1.58969e+09 9.18899e+07 
15 1 5.02799e+06 529262 
0 2 0 0 
1 2 0 0 
2 2 0 0 
3 2 0 0 
4 2 0 0 
5 2 0 0 
6 2 226 107.619 
7 2 23111 11555.5 
8 2 230666 74408.4 
9 2 2.56407e+06 179305 
10 2 3.73783e+07 606791 
11 2 7.96966e+08 3.21228e+06 
12 2 2.32608e+09 2.13206e+07 
13 2 1.93523e+09 4.31008e+07 
14 2 1.04194e+06 60227.7 
15 2 1048 110.316 
0 3 0 0 
1 3 0 0 
2 3 0 0 
3 3 0 0 
4 3 0 0 
5 3 67 55.8333 
6 3 70007 33336.7 
7 3 912704 456352 
8 3 4.4007e+06 1.41958e+06 
9 3 3.54367e+07 2.47809e+06 
10 3 1.99846e+08 3.24425e+06 
11 3 2.47479e+09 9.97495e+06 
12 3 2.12775e+09 1.95028e+07 
13 3 260544 5802.76 
14 3 0 0 
15 3 0 0 
0 4 0 0 
1 4 0 0 
2 4 0 0 
3 4 0 0 
4 4 146 146 
5 4 16607 13839.2 
6 4 1.10755e+06 527406 
7 4 8.74759e+06 4.37379e+06 
8 4 4.56913e+07 1.47391e+07 
9 4 3.39695e+08 2.37549e+07 
10 4 1.26955e+09 2.06096e+07 
11 4 2.35277e+09 9.48314e+06 
12 4 62373 571.705 
13 4 0 0 
14 4 0 0 
15 4 0 0 
0 5 0 0 
1 5 3251 13.004 
2 5 14079 281.58 
3 5 6408 1281.6 
4 5 15581 15581 
5 5 227656 189713 
6 5 7.50035e+06 3.5716e+06 
7 5 4.6508e+07 2.3254e+07 
8 5 1.97521e+08 6.37165e+07 
9 5 8.46514e+08 5.91968e+07 
10 5 1.15515e+09 1.87525e+07 
11 5 735541 2964.7 
12 5 488 4.47296 
13 5 0 0 
14 5 0 0 
15 5 0 0 
0 6 0 0 
1 6 151300 605.2 
2 6 168146 3362.92 
3 6 137371 27474.2 
4 6 109723 109723 
5 6 1.23876e+06 1.0323e+06 
6 6 3.31517e+07 1.57865e+07 
7 6 1.79041e+08 8.95207e+07 
8 6 5.40742e+08 1.74433e+08 
9 6 8.03322e+08 5.61764e+07 
10 6 895855 14543.1 
11 6 0 0 
12 6 0 0 
13 6 0 0 
14 6 0 0 
15 6 0 0 
0 7 0 0 
1 7 2.66459e+06 10658.4 
2 7 1.50242e+06 30048.5 
3 7 1.46169e+06 292337 
4 7 1.67914e+06 1.67914e+06 
5 7 7.52813e+06 6.27344e+06 
6 7 8.16248e+07 3.88689e+07 
7 7 3.27498e+08 1.63749e+08 
8 7 7.44497e+08 2.4016e+08 
9 7 1.05409e+06 73712.9 
10 7 0 0 
11 7 0 0 
12 7 0 0 
13 7 0 0 
14 7 0 0 
15 7 0 0 
0 8 0 0 
1 8 4.43437e+07 177375 
2 8 2.38605e+07 477209 
3 8 2.37314e+07 4.74627e+06 
4 8 2.48111e+07 2.48111e+07 
5 8 7.0319e+07 5.85992e+07 
6 8 1.40036e+08 6.66836e+07 
7 8 1.13239e+08 5.66194e+07 
8 8 79744 25723.9 
9 8 0 0 
10 8 0 0 
11 8 0 0 
12 8 0 0 
13 8 0 0 
14 8 0 0 
15 8 0 0 
0 9 0 0 
1 9 5.75108e+08 2.30043e+06 
2 9 3.03971e+08 6.07941e+06 
3 9 2.925e+08 5.85e+07 
4 9 2.91577e+08 2.91577e+08 
5 9 6.53746e+08 5.44788e+08 
6 9 6.309e+08 3.00428e+08 
7 9 14694 7347 
8 9 0 0 
9 9 0 0 
10 9 0 0 
11 9 0 0 
12 9 0 0 
13 9 0 0 
14 9 0 0 
15 9 0 0 
0 10 0 0 
1 10 2.31706e+09 9.26823e+06 
2 10 1.4337e+09 2.86741e+07 
3 10 1.15044e+09 2.30088e+08 
4 10 8.29282e+08 8.29282e+08 
5 10 1.12663e+09 9.38856e+08 
6 10 581702 277001 
7 10 0 0 
8 10 0 0 
9 10 0 0 
10 10 0 0 
11 10 0 0 
12 10 0 0 
13 10 0 0 
14 10 0 0 
15 10 0 0 
0 11 0 0 
1 11 3.57606e+09 1.43043e+07 
2 11 2.56431e+09 5.12863e+07 
3 11 1.20642e+09 2.41283e+08 
4 11 3.64247e+08 3.64247e+08 
5 11 2.4969e+06 2.08075e+06 
6 11 8100 3857.14 
7 11 0 0 
8 11 0 0 
9 11 0 0 
10 11 0 0 
11 11 0 0 
12 11 0 0 
13 11 0 0 
14 11 0 0 
15 11 0 0 
