           0  -1.233493   0.000  0.000  0.000   7  7 1.000000
      100000  -1.119103   0.130  0.333  0.000   6  8 1.000000
      200000  -1.216238   0.127  0.332  0.000   6  8 1.000000
      300000  -1.287540   0.122  0.327  0.000   5  9 1.000000
      400000  -1.234996   0.118  0.326  0.000   5  9 1.000000
      500000  -1.263548   0.117  0.324  0.000   5  8 1.000000
      600000  -1.138114   0.117  0.324  0.000   5  9 1.000000
      700000  -1.265216   0.117  0.325  0.000   6  9 1.000000
      800000  -1.275148   0.115  0.323  0.000   6  8 1.000000
      900000  -1.216658   0.114  0.323  0.000   6  7 1.000000
     1000000  -1.339377   0.114  0.323  0.000   6  8 1.000000
     1100000  -1.219265   0.114  0.322  0.000   6  8 1.000000
     1200000  -1.182657   0.114  0.322  0.000   5  8 1.000000
     1300000  -1.203857   0.115  0.322  0.000   6  8 1.000000
     1400000  -1.098708   0.116  0.322  0.000   5  7 1.000000
     1500000  -1.253177   0.115  0.322  0.000   6  9 1.000000
     1600000  -1.299794   0.115  0.322  0.000   6  8 1.000000
     1700000  -1.276359   0.116  0.323  0.000   6  9 1.000000
     1800000  -1.225313   0.115  0.322  0.000   6  8 1.000000
     1900000  -1.143766   0.115  0.322  0.000   3 10 5.000000
     2000000  -1.168901   0.116  0.322  0.000   5 10 1.000000
     2100000  -1.203224   0.117  0.322  0.000   1 10 250.000000
     2200000  -1.255957   0.118  0.322  0.000   3 10 5.000000
     2300000  -1.118215   0.119  0.323  0.000   4  8 1.000000
     2400000  -1.203826   0.120  0.324  0.000   4 10 1.000000
     2500000  -1.275399   0.120  0.324  0.000   5  9 1.000000
     2600000  -1.203525   0.120  0.324  0.000   4 10 1.000000
     2700000  -1.317846   0.119  0.323  0.000   5 10 1.000000
     2800000  -1.294940   0.119  0.323  0.000   2  9 50.000000
     2900000  -1.240259   0.118  0.322  0.000   2  9 50.000000
     3000000  -1.206363   0.117  0.322  0.000   3 10 5.000000
     3100000  -1.264377   0.117  0.321  0.000   4 10 1.000000
     3200000  -1.226505   0.116  0.321  0.000   4  9 1.000000
     3300000  -1.358698   0.116  0.321  0.000   5 10 1.000000
     3400000  -1.078705   0.116  0.321  0.000   1 10 250.000000
     3500000  -1.335043   0.116  0.321  0.000   5 10 1.000000
     3600000  -1.237476   0.116  0.321  0.000   3 10 5.000000
     3700000  -1.221654   0.116  0.321  0.000   3 10 5.000000
     3800000  -1.236830   0.116  0.321  0.000   2 10 50.000000
     3900000  -1.174337   0.115  0.321  0.000   2  9 50.000000
     4000000  -1.166560   0.116  0.321  0.000   2  8 50.000000
     4100000  -1.200743   0.116  0.321  0.000   2  9 50.000000
     4200000  -1.265432   0.116  0.322  0.000   3  8 5.000000
     4300000  -1.257485   0.116  0.322  0.000   3 10 5.000000
     4400000  -1.176516   0.116  0.322  0.000   1 10 250.000000
     4500000  -1.197082   0.116  0.322  0.000   3 10 5.000000
